,Mean,Standard Deviation,Stage Number,Rank,Best Rank
388,92.76923076923077,25.04811937099607,13,14,6
389,59.38461538461539,43.91869842112716,13,15,7
390,76.15384615384616,37.74580191399009,13,16,7
391,79.53846153846153,37.399332335906706,13,17,7
392,92.92307692307692,24.515180660974874,13,18,8
393,55.38461538461539,37.24459374612119,13,19,12
394,73.0,40.53868048400953,13,20,8
395,92.92307692307692,24.515180660974874,13,21,8
396,92.92307692307692,24.515180660974874,13,22,8
397,98.38461538461539,5.595856455222528,13,23,79
398,73.23076923076923,40.18448580495069,13,24,9
399,93.0,24.24871130596428,13,25,9
400,65.76923076923077,38.92034043284159,13,26,9
401,93.0,24.24871130596428,13,27,9
402,100.0,0.0,13,28,100
403,61.23076923076923,35.27944236031003,13,29,10
404,71.3076923076923,39.44301559579262,13,30,10
405,45.857142857142854,47.207531394981494,14,1,1
406,49.0,44.82186966202994,14,2,1
407,47.0,46.292547996410825,14,3,1
408,52.0,43.78355855797927,14,4,1
409,55.5,45.907904703718664,14,5,3
410,51.642857142857146,44.632798866908146,14,6,1
411,47.92857142857143,45.67816653456204,14,7,3
412,53.785714285714285,43.299915162286695,14,8,2
413,78.0,37.648752587948664,14,9,1
414,79.85714285714286,38.58359596449015,14,10,3
415,57.42857142857143,40.700498918869506,14,11,5
416,75.14285714285714,39.398798282719845,14,12,8
417,82.35714285714286,34.33783241111584,14,13,5
418,62.642857142857146,43.374790477644865,14,14,7
419,80.42857142857143,37.48469075257693,14,15,7
420,84.21428571428571,31.670577989738067,14,16,9
421,78.64285714285714,35.59415510376697,14,17,9
422,57.5,43.43920217630943,14,18,8
423,87.71428571428571,30.153011153658483,14,19,9
424,63.42857142857143,42.5100228277559,14,20,8
425,89.35714285714286,26.991022695008226,14,21,7
426,67.14285714285714,36.56863828641215,14,22,8
427,78.07142857142857,35.83387121887073,14,23,10
428,71.0,39.44616584663204,14,24,10
429,63.642857142857146,37.61573975812546,14,25,10
430,93.57142857142857,23.17854391369707,14,26,10
431,94.21428571428571,20.860689522327366,14,27,19
432,97.71428571428571,8.241260058203405,14,28,68
433,95.71428571428571,15.45236260913138,14,29,40
434,40.15384615384615,47.32838821849891,13,1,1
435,41.46153846153846,46.46854251842834,13,2,1
436,43.69230769230769,45.53846153846153,13,3,1
437,42.23076923076923,45.89478577079041,13,4,1
438,46.15384615384615,43.65044039578023,13,5,2
439,42.0,45.91463651335864,13,6,3
440,62.46153846153846,38.18500588655464,13,7,1
441,51.15384615384615,41.751731707699456,13,8,2
442,55.92307692307692,44.28658685367308,13,9,5
443,51.61538461538461,45.09569050114599,13,10,5
444,81.15384615384616,35.278771463534994,13,11,4
445,67.3076923076923,42.32181582440145,13,12,7
446,61.46153846153846,42.83890285281751,13,13,5
447,72.0,42.01831102672335,13,14,6
448,65.07692307692308,44.213575253381066,13,15,7
449,86.0,32.835253100194706,13,16,8
450,58.76923076923077,44.54238059016439,13,17,9
451,100.0,0.0,13,18,100
452,54.53846153846154,42.33132207246033,13,19,9
453,93.0,24.24871130596428,13,20,9
454,94.53846153846153,18.91932420575235,13,21,29
455,96.61538461538461,11.724651620466247,13,22,56
456,93.07692307692308,23.982241950953686,13,23,10
457,86.53846153846153,31.585331027150474,13,24,10
458,93.38461538461539,22.9163645309113,13,25,14
459,72.92307692307692,40.621066036198,13,26,11
460,100.0,0.0,13,27,100
461,47.30769230769231,48.7968861165808,13,1,1
462,48.23076923076923,47.971391869215374,13,2,1
463,49.0,47.343263674831455,13,3,1
464,63.69230769230769,45.94542685100128,13,4,3
465,49.46153846153846,46.82802478564992,13,5,3
466,57.53846153846154,46.01106118618968,13,6,3
467,50.0,46.364774427277304,13,7,2
468,77.92307692307692,40.30739870709277,13,8,4
469,70.3076923076923,44.542779118479274,13,9,2
470,70.6923076923077,43.970942530064654,13,10,2
471,64.0,45.561454694139805,13,11,2
472,57.46153846153846,45.9859767665274,13,12,3
473,92.6923076923077,25.31458872600667,13,13,5
474,71.0,43.520110293977886,13,14,3
475,100.0,0.0,13,17,100
476,92.92307692307692,24.515180660974874,13,18,8
477,100.0,0.0,13,30,100
478,100.0,0.0,13,31,100
479,4.083333333333333,5.0408057116122045,12,1,1
480,3.5,2.533114025595111,12,2,1
481,22.083333333333332,36.021887636392535,12,3,1
482,17.666666666666668,26.91447359486878,12,4,1
483,32.833333333333336,39.90788003501174,12,5,1
484,45.5,46.23580863356885,12,6,2
485,34.25,39.797665341910026,12,7,2
486,59.916666666666664,47.4490223526494,12,8,2
487,13.583333333333334,13.200115740233324,12,9,4
